Epoch,Train_Loss,Train_Accuracy,Test_Loss,Test_Accuracy
0,1.9753648740861116,0.2598705242966752,1.7015129735198202,0.3651
1,1.6559223000655698,0.38362771739130436,1.523684807970554,0.4311
2,1.517185496247333,0.4410845588235294,1.4628067846539654,0.4629
3,1.409645030870462,0.4855218989769821,1.3036232477501979,0.5322
4,1.319622193456001,0.5218390345268542,1.2486837264857715,0.55
5,1.2367864078877833,0.553716432225064,1.1878203402591656,0.5784
6,1.1656463865733817,0.5816416240409207,1.1033885380889796,0.6036
7,1.0995141827236965,0.607285006393862,1.0901064171066768,0.6224
8,1.0498841502477445,0.6234934462915601,0.9773543703405163,0.6581
9,1.0045033591177763,0.6425351662404092,1.0424943679495702,0.6285
10,0.9578901387541495,0.6574088874680307,0.9292843040031723,0.6728
11,0.9204681297702253,0.6701126918158569,0.9797764337515529,0.6586
12,0.887168487319556,0.685821611253197,0.8811806372449368,0.6887
13,0.8613437804419671,0.694693094629156,0.8400578242314013,0.702
14,0.8352006182951086,0.7013786764705882,0.7953773269170448,0.7188
15,0.8117032979455445,0.7142623081841433,0.7863865026944801,0.721
16,0.784599329352074,0.7216392263427109,0.768487482131282,0.7296
17,0.7617616209075274,0.7322969948849105,0.7414034476763085,0.7397
18,0.7386043902553255,0.7372482416879796,0.7519851289217985,0.7357
19,0.7147041521108973,0.7485933503836317,0.6966453326653831,0.7548
20,0.6911171900341883,0.7577845268542199,0.6978216103360623,0.7511
21,0.6766520057950178,0.7614450127877238,0.7071116076240057,0.7584
22,0.659245993170287,0.7676670396419437,0.6469873774655258,0.7746
23,0.6431526763512351,0.7741648017902814,0.6732809249358841,0.767
24,0.6258399720539523,0.7780410805626599,0.6450212484673609,0.7744
25,0.6120216653627508,0.7856657608695652,0.6436553148529197,0.7829
26,0.5895562751213913,0.7905770460358057,0.6073570892780642,0.7873
27,0.5844363948268354,0.7946531329923274,0.596322426690331,0.7947
28,0.5643931609742782,0.8005234974424552,0.6168178565140012,0.7915
29,0.5487996069976436,0.8055906329923274,0.5713549441174616,0.8046
30,0.5374021241274636,0.8092031649616368,0.5664713831642006,0.801
31,0.5315900543309233,0.8120124680306905,0.5996192003352733,0.7945
32,0.5244735435909017,0.8149976023017903,0.5528146224685863,0.8068
33,0.508918049619021,0.8198449488491049,0.5605465449109862,0.8102
34,0.5009162324621245,0.8241088554987213,0.5575713387018517,0.8078
35,0.4839605268310098,0.8306585677749361,0.5683780965171282,0.8035
36,0.4802185460886992,0.8311780690537085,0.5624273570278023,0.8073
37,0.4658927092771701,0.835525895140665,0.5422677454314654,0.8095
38,0.4552822601231163,0.8382352941176471,0.5308175369908538,0.8202
39,0.44539467087182244,0.8439378196930947,0.5433366400531575,0.8169
40,0.44237643015354183,0.8435861572890027,0.55374230501018,0.8125
41,0.43127463026272367,0.847550351662404,0.5181727756427813,0.8249
42,0.42372785828759907,0.8496363491048593,0.5240876908543743,0.8225
43,0.4168775023706734,0.8508232097186701,0.5593632146527495,0.8167
44,0.4100805328935004,0.8541560102301791,0.5445693203165561,0.8213
45,0.4031178541195667,0.8578564578005116,0.5417040126233161,0.8194
46,0.39272453637836535,0.8603380754475702,0.5212213223493551,0.8268
47,0.3916578905280594,0.8612052429667519,0.5071178057902976,0.8301
48,0.3848280551488442,0.8645939897698209,0.4999127689796158,0.8295
49,0.37086835450223643,0.8679148017902814,0.4993697736836687,0.8327
50,0.36743532772869103,0.8691975703324808,0.5677189849600007,0.8157
51,0.35662799166596454,0.8718829923273658,0.5065455297126046,0.8316
52,0.35406294003929323,0.8741528132992327,0.5267599738096889,0.8305
53,0.3450449311824711,0.877621483375959,0.5079958003155792,0.8308
54,0.3379114068225217,0.8799072890025575,0.5243171340302576,0.8303
55,0.3298161600328163,0.8828804347826087,0.5292757817461521,0.8278
56,0.32824411203184395,0.8822210677749361,0.5066427165948892,0.831
57,0.3240675572925212,0.8844988810741689,0.4900178750859031,0.8396
58,0.31593041213424616,0.8865848785166242,0.508040496820136,0.8362
59,0.3109139947177809,0.8877157928388747,0.4902928675277324,0.8368
60,0.30481411413768367,0.8906689578005115,0.4898995938180368,0.8385
61,0.3001630255175978,0.8919876918158567,0.542913122456285,0.8297
62,0.301333460127911,0.8922554347826087,0.5388396593588817,0.8278
63,0.2941206073212197,0.8938419117647058,0.5164197423035586,0.836
64,0.28490818606313234,0.8974824168797954,0.5438726668870901,0.8267
65,0.28539871129081074,0.8971467391304349,0.533018636929838,0.8292
66,0.2801552945009583,0.897198689258312,0.49911867704572555,0.8454
67,0.274959420380385,0.9017263427109974,0.5116221474695809,0.8385
68,0.2775967942021997,0.9004435741687979,0.5049266417192507,0.837
69,0.26527676710387327,0.9038842710997442,0.5187006404128256,0.8364
70,0.26357184192332467,0.904096067774936,0.5125461364094215,0.8373
71,0.25725280922239696,0.9067774936061381,0.512088967275016,0.8437
72,0.25553521597781753,0.9072650255754476,0.5105414466012882,0.8402
73,0.25014202473947156,0.9097786125319692,0.5186553576701805,0.8425
74,0.2533215740528863,0.9091472186700768,0.5073307190514817,0.8396
75,0.24472497693260611,0.9127877237851661,0.5640424523926988,0.8261
76,0.2440287602679504,0.9096227621483377,0.512403586620017,0.8389
77,0.2357743527273388,0.914945652173913,0.5141550943821291,0.8413
78,0.23467625932925193,0.914977621483376,0.5425569903624209,0.8357
79,0.23072886592744257,0.9152573529411765,0.5628513173211979,0.8315
80,0.22973287869673556,0.916803868286445,0.5330457434624056,0.8348
81,0.22334042073363233,0.9188898657289002,0.5196873149539851,0.8441
82,0.2186436072144362,0.921047794117647,0.5285075702999211,0.843
83,0.21862666274580506,0.9210398017902812,0.5552124771513517,0.8348
84,0.21248842242276272,0.9229579603580562,0.5552553579777102,0.8364
85,0.21081234609989255,0.923201726342711,0.532201104337656,0.84
86,0.2099966408537172,0.9233935421994884,0.5177437532928926,0.843
87,0.20419425393461876,0.9254315856777494,0.5245011435656608,0.8427
88,0.20581651153162006,0.9248201726342711,0.5073349489064156,0.8451
89,0.19678236292603682,0.9292559143222506,0.5191639056311378,0.844
90,0.19851867742169543,0.9285645780051152,0.5344076305627823,0.8393
91,0.1890933969822686,0.9320252557544757,0.5272955764320832,0.8433
92,0.19433237981918217,0.9285525895140664,0.5328649569161331,0.8455
93,0.1901531723111182,0.931689578005115,0.5500659371101404,0.8429
94,0.18869054235537033,0.9309462915601023,0.5419141465350042,0.8439
95,0.18918777119053903,0.932428868286445,0.5674471662768835,0.8359
96,0.1835799508768579,0.9322410485933504,0.5474120250231103,0.8397
97,0.18012567741029403,0.9346747122762148,0.5587856975160067,0.8435
98,0.17210049423224785,0.9377078005115089,0.5565283253223081,0.8412
99,0.17753574859036508,0.9360893542199489,0.5237420687947092,0.8513
